,Location,X,Y
133,"2, Old 36, 8th F Main, 3rd Block, Jayanagar, Bangalore",12.9328379,77.5814359
134,"766/25-01, 47th A Cross, Near Sangam Circle, Adarsh Gardens Apartments Road, 8th Block, Jayanagar, Bangalore",12.9161721,77.5753264
135,"1766, 14th Main, 1st Stage, Kumaraswamy Layout, Bangalore",12.9070322,77.5615897
136,"Opposite BNM School, Near BDA complex, Banashankari, Bangalore",12.9231963,77.5687213
137,"728/1, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",12.9059542,77.5607431
138,"416, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",12.923646,77.5672418
139,"4009, 80 Feet Road, 4th Phase, Banashankari, Bangalore",12.9351393,77.5451528
140,"12, Old 387, Market Road, V.V.Puram, Basavanagudi, Bangalore",12.9436657,77.5707256
141,"6th C Main, 4th Block, Jayanagar, Bangalore",12.9298357,77.5794085
142,"1771, 14th Main Road, 1stage, Kumaraswamy Layout, Bangalore",12.9070974,77.5614673
143,"1424, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",12.9086229,77.5618279
144,"7/1, Behind BMS College Hostel, Hanumantha Nagar, Banashankari, Bangalore",12.9395036,77.5627534
145,"19, V.V.puram National School Road, Basavanagudi, Bangalore",12.9500002,77.5739165
146,"1st Floor, GR Plaza, DVG Road, Near Gandhi Bazaar circle, Basavanagudi, Bangalore",12.9442427,77.5687563
147,"1763, Near Swathi Nursing Home, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",12.9073514,77.5617425
148,"31/1, Puttalingaiah Road, Second Stage, Bangalore, Banashankari, Bangalore",12.918549,77.5577302
149,"80 Feet Road, Hosakerehalli Cross, B S K 3rd Stage, Banashankari, Bangalore",12.9325658,77.5430007
150,"17, Ground Floor, Near Big Bazar, 100 Feet Ring Road, 3rd Stage, Banashankari, Bangalore",12.9249185,77.5490342
151,"2469, 21st Cross, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",12.9112192,77.5855613
152,"197/F, 8th B Main, 27th Cross, 3rd Block, Jayanagar, Bangalore",12.9310074,77.5806714
